f,t,1,2,3,4,5,6,7,distance,time,from_cat,to_cat,from_cat2,to_cat2
24170,23716,99999,99999,99999,99999,99999,99999,99999,332,570,AW,AW,GT,Upcountry
24170,25038,99999,99999,99999,99999,99999,99999,99999,54,94,AW,AW,GT,Upcountry
24170,23348,99999,99999,99999,99999,99999,99999,99999,11,21,AW,MT,GT,MT
24170,24172,99999,99999,99999,99999,99999,99999,99999,17,31,AW,MT,GT,MT
24170,19413,99999,99999,99999,99999,99999,99999,99999,114,197,AW,AW,GT,Upcountry
24170,940,99999,99999,99999,99999,99999,99999,99999,155,266,AW,AW,GT,Upcountry
24170,4425,99999,99999,99999,99999,99999,99999,99999,75,130,AW,AW,GT,Upcountry
24170,22820,99999,99999,99999,99999,99999,99999,99999,221,379,AW,AW,GT,Upcountry
24170,21367,99999,99999,99999,99999,99999,99999,99999,346,595,AW,MT,GT,Upcountry
24170,23640,99999,99999,99999,99999,99999,99999,99999,162,279,AW,AW,GT,Upcountry
24170,17606,99999,99999,99999,99999,99999,99999,99999,53,92,AW,AW,GT,Upcountry
24170,6410,99999,99999,99999,99999,99999,99999,99999,97,167,AW,AW,GT,Upcountry
24170,25167,99999,99999,99999,99999,99999,99999,99999,53,92,AW,AW,GT,Upcountry
24170,14363,99999,99999,99999,99999,99999,99999,99999,11,21,AW,AD,GT,ACD
24170,25181,99999,99999,99999,99999,99999,99999,99999,228,392,AW,AW,GT,Upcountry
24170,21987,99999,99999,99999,99999,99999,99999,99999,43,76,AW,MT,GT,MT
24170,18240,99999,99999,99999,99999,99999,99999,99999,35,61,AW,AW,GT,Upcountry
24170,23452,99999,99999,99999,99999,99999,99999,99999,34,60,AW,AW,GT,Upcountry
24170,23080,99999,99999,99999,99999,99999,99999,99999,30,52,AW,MT,GT,MT
22693,23711,99999,900,900,900,900,900,900,33,57,AW,AW,GT,GT
22693,24051,99999,900,900,900,900,900,900,7,13,AW,AW,GT,GT
22693,2651,99999,900,900,900,900,900,900,9,17,AW,AW,GT,GT
22693,23894,99999,900,900,900,900,900,900,23,40,AW,AW,GT,GT
22693,24698,99999,900,900,900,900,900,900,21,38,AW,AW,GT,GT
22693,958,99999,900,900,900,900,900,900,13,23,AW,AW,GT,GT
22693,25152,99999,900,900,900,900,900,900,19,35,AW,AW,GT,GT
22693,24444,99999,900,900,900,900,900,900,27,48,AW,AW,GT,GT
22693,16730,99999,99999,99999,99999,99999,99999,99999,24,42,AW,AD,GT,ACD
22693,23895,99999,900,900,900,900,900,900,16,28,AW,AW,GT,GT
22693,22803,99999,900,900,900,900,900,900,19,35,AW,AW,GT,GT
22693,21316,99999,900,900,900,900,900,900,20,35,AW,AW,GT,GT
22693,24394,99999,99999,99999,99999,99999,99999,99999,178,307,AW,MT,GT,Upcountry
22693,22861,99999,99999,99999,99999,99999,99999,99999,46,81,AW,AW,GT,Upcountry
22693,23716,99999,99999,99999,99999,99999,99999,99999,348,599,AW,AW,GT,Upcountry
22693,25038,99999,99999,99999,99999,99999,99999,99999,30,53,AW,AW,GT,Upcountry
22693,23348,99999,99999,99999,99999,99999,99999,99999,25,44,AW,MT,GT,MT
22693,24172,99999,99999,99999,99999,99999,99999,99999,10,18,AW,MT,GT,MT
22693,19413,99999,99999,99999,99999,99999,99999,99999,125,216,AW,AW,GT,Upcountry
22693,940,99999,99999,99999,99999,99999,99999,99999,166,285,AW,AW,GT,Upcountry
22693,4425,99999,99999,99999,99999,99999,99999,99999,78,135,AW,AW,GT,Upcountry
22693,22820,99999,99999,99999,99999,99999,99999,99999,232,399,AW,AW,GT,Upcountry
22693,21367,99999,99999,99999,99999,99999,99999,99999,363,623,AW,MT,GT,Upcountry
22693,23640,99999,99999,99999,99999,99999,99999,99999,173,298,AW,AW,GT,Upcountry
22693,17606,99999,99999,99999,99999,99999,99999,99999,35,61,AW,AW,GT,Upcountry
22693,6410,99999,99999,99999,99999,99999,99999,99999,78,136,AW,AW,GT,Upcountry
22693,25167,99999,99999,99999,99999,99999,99999,99999,35,61,AW,AW,GT,Upcountry
